Year,Month,Day of Year,Station,Chl-a,Chl-a t-1,Chl-a t-2,Chl-a t-3,Chl-a t-4,Chl-a t-5,NDCI,NDCI t-1,NDCI t-2,NDCI t-3,NDCI t-4,NDCI t-5,SPM,SPM t-1,SPM t-2,SPM t-3,SPM t-4,SPM t-5,Turbidity,Turbidity t-1,Turbidity t-2,Turbidity t-3,Turbidity t-4,Turbidity t-5,Rainfall Amount,Rainfall Amount t-1,Rainfall Amount t-2,Rainfall Amount t-3,Rainfall Amount t-4,Rainfall Amount t-5,Atmos TMax,Atmos TMax t-1,Atmos TMax t-2,Atmos TMax t-3,Atmos TMax t-4,Atmos TMax t-5,Atmos TMin,Atmos TMin t-1,Atmos TMin t-2,Atmos TMin t-3,Atmos TMin t-4,Atmos TMin t-5,Water Temp,Water Temp t-1,Water Temp t-2,Water Temp t-3,Water Temp t-4,Water Temp t-5,Bloom,Bloom t-1,Bloom t-2,Bloom t-3,Bloom t-4,Bloom t-5
2016,11,317,2,502.368207,173.9099919,350.13601,361.6066363,237.3816368,346.2716995,-0.412928701,-0.293802339,-0.356874053,-0.33748493,-0.263233077,-0.325869698,0.309961443,0.213054266,0.221679491,0.253644244,0.191322765,0.320768218,14.7261876,8.450664489,11.01461485,11.1514211,7.786223556,11.37677048,0.0,68.5,1.5,0.0,2.5,0.0,32.9,32.0,33.4,33.3,33.2,35.9,26.3,25.7,26.1,26.6,25.2,28.1,27.5,29.5,31.0,30.0,30.5,31.0,38061.0,1114.0,20383.999999999996,2752.0,52753.0,21484.0
2016,12,347,2,317.038231,502.368207,173.9099919,350.13601,361.6066363,237.3816368,-0.368700383,-0.412928701,-0.293802339,-0.356874053,-0.33748493,-0.263233077,0.258613396,0.309961443,0.213054266,0.221679491,0.253644244,0.191322765,11.01049189,14.7261876,8.450664489,11.01461485,11.1514211,7.786223556,0.0,0.0,68.5,1.5,0.0,2.5,30.9,32.9,32.0,33.4,33.3,33.2,25.4,26.3,25.7,26.1,26.6,25.2,27.999999999999996,27.5,29.5,31.0,30.0,30.5,714.0,38061.0,1114.0,20383.999999999996,2752.0,52753.0
2016,1,12,4,251.5806436,317.038231,502.368207,173.9099919,350.13601,361.6066363,-0.447673337,-0.368700383,-0.412928701,-0.293802339,-0.356874053,-0.33748493,0.260774894,0.258613396,0.309961443,0.213054266,0.221679491,0.253644244,12.5377666,11.01049189,14.7261876,8.450664489,11.01461485,11.1514211,0.0,0.0,0.0,68.5,1.5,0.0,32.1,30.9,32.9,32.0,33.4,33.3,24.5,25.4,26.3,25.7,26.1,26.6,25.7,27.999999999999996,27.5,29.5,31.0,30.0,47942.0,714.0,38061.0,1114.0,20383.999999999996,2752.0
2016,2,43,4,271.4408707,251.5806436,317.038231,502.368207,173.9099919,350.13601,-0.367958039,-0.447673337,-0.368700383,-0.412928701,-0.293802339,-0.356874053,0.232394898,0.260774894,0.258613396,0.309961443,0.213054266,0.221679491,10.80387697,12.5377666,11.01049189,14.7261876,8.450664489,11.01461485,0.0,0.0,0.0,0.0,68.5,1.5,27.5,32.1,30.9,32.9,32.0,33.4,20.9,24.5,25.4,26.3,25.7,26.1,26.0,25.7,27.999999999999996,27.5,29.5,31.0,21754.0,47942.0,714.0,38061.0,1114.0,20383.999999999996
2016,3,72,4,590.9846771,271.4408707,251.5806436,317.038231,502.368207,173.9099919,-0.475136249,-0.367958039,-0.447673337,-0.368700383,-0.412928701,-0.293802339,0.29617479699999993,0.232394898,0.260774894,0.258613396,0.309961443,0.213054266,16.51680247,10.80387697,12.5377666,11.01049189,14.7261876,8.450664489,0.0,0.0,0.0,0.0,0.0,68.5,33.3,27.5,32.1,30.9,32.9,32.0,26.4,20.9,24.5,25.4,26.3,25.7,27.999999999999996,26.0,25.7,27.999999999999996,27.5,29.5,42001.0,21754.0,47942.0,714.0,38061.0,1114.0
2016,4,103,4,272.6624343,590.9846771,271.4408707,251.5806436,317.038231,502.368207,-0.413618306,-0.475136249,-0.367958039,-0.447673337,-0.368700383,-0.412928701,0.277813036,0.29617479699999993,0.232394898,0.260774894,0.258613396,0.309961443,12.82012897,16.51680247,10.80387697,12.5377666,11.01049189,14.7261876,0.0,0.0,0.0,0.0,0.0,0.0,35.0,33.3,27.5,32.1,30.9,32.9,24.3,26.4,20.9,24.5,25.4,26.3,27.0,27.999999999999996,26.0,25.7,27.999999999999996,27.5,329473.0,42001.0,21754.0,47942.0,714.0,38061.0
2016,5,133,4,756.2421094,272.6624343,590.9846771,271.4408707,251.5806436,317.038231,-0.46606571300000005,-0.413618306,-0.475136249,-0.367958039,-0.447673337,-0.368700383,0.259407496,0.277813036,0.29617479699999993,0.232394898,0.260774894,0.258613396,16.55360709,12.82012897,16.51680247,10.80387697,12.5377666,11.01049189,0.0,0.0,0.0,0.0,0.0,0.0,36.4,35.0,33.3,27.5,32.1,30.9,28.2,24.3,26.4,20.9,24.5,25.4,36.0,27.0,27.999999999999996,26.0,25.7,27.999999999999996,75663.0,329473.0,42001.0,21754.0,47942.0,714.0
2016,6,164,4,346.2716995,756.2421094,272.6624343,590.9846771,271.4408707,251.5806436,-0.325869698,-0.46606571300000005,-0.413618306,-0.475136249,-0.367958039,-0.447673337,0.320768218,0.259407496,0.277813036,0.29617479699999993,0.232394898,0.260774894,11.37677048,16.55360709,12.82012897,16.51680247,10.80387697,12.5377666,0.0,0.0,0.0,0.0,0.0,0.0,35.9,36.4,35.0,33.3,27.5,32.1,28.1,28.2,24.3,26.4,20.9,24.5,30.0,36.0,27.0,27.999999999999996,26.0,25.7,44455.0,75663.0,329473.0,42001.0,21754.0,47942.0
2016,7,194,4,237.3816368,346.2716995,756.2421094,272.6624343,590.9846771,271.4408707,-0.263233077,-0.325869698,-0.46606571300000005,-0.413618306,-0.475136249,-0.367958039,0.191322765,0.320768218,0.259407496,0.277813036,0.29617479699999993,0.232394898,7.786223556,11.37677048,16.55360709,12.82012897,16.51680247,10.80387697,2.5,0.0,0.0,0.0,0.0,0.0,33.2,35.9,36.4,35.0,33.3,27.5,25.2,28.1,28.2,24.3,26.4,20.9,31.0,30.0,36.0,27.0,27.999999999999996,26.0,12019.0,44455.0,75663.0,329473.0,42001.0,21754.0
2016,8,225,4,361.6066363,237.3816368,346.2716995,756.2421094,272.6624343,590.9846771,-0.33748493,-0.263233077,-0.325869698,-0.46606571300000005,-0.413618306,-0.475136249,0.253644244,0.191322765,0.320768218,0.259407496,0.277813036,0.29617479699999993,11.1514211,7.786223556,11.37677048,16.55360709,12.82012897,16.51680247,0.0,2.5,0.0,0.0,0.0,0.0,33.3,33.2,35.9,36.4,35.0,33.3,26.6,25.2,28.1,28.2,24.3,26.4,32.0,31.0,30.0,36.0,27.0,27.999999999999996,43639.0,12019.0,44455.0,75663.0,329473.0,42001.0
2016,9,256,4,350.13601,361.6066363,237.3816368,346.2716995,756.2421094,272.6624343,-0.356874053,-0.33748493,-0.263233077,-0.325869698,-0.46606571300000005,-0.413618306,0.221679491,0.253644244,0.191322765,0.320768218,0.259407496,0.277813036,11.01461485,11.1514211,7.786223556,11.37677048,16.55360709,12.82012897,1.5,0.0,2.5,0.0,0.0,0.0,33.4,33.3,33.2,35.9,36.4,35.0,26.1,26.6,25.2,28.1,28.2,24.3,30.0,32.0,31.0,30.0,36.0,27.0,408535.0,43639.0,12019.0,44455.0,75663.0,329473.0
2016,10,286,4,173.9099919,350.13601,361.6066363,237.3816368,346.2716995,756.2421094,-0.293802339,-0.356874053,-0.33748493,-0.263233077,-0.325869698,-0.46606571300000005,0.213054266,0.221679491,0.253644244,0.191322765,0.320768218,0.259407496,8.450664489,11.01461485,11.1514211,7.786223556,11.37677048,16.55360709,68.5,1.5,0.0,2.5,0.0,0.0,32.0,33.4,33.3,33.2,35.9,36.4,25.7,26.1,26.6,25.2,28.1,28.2,30.0,30.0,32.0,31.0,30.0,36.0,46877.0,408535.0,43639.0,12019.0,44455.0,75663.0
2016,11,317,4,502.368207,173.9099919,350.13601,361.6066363,237.3816368,346.2716995,-0.412928701,-0.293802339,-0.356874053,-0.33748493,-0.263233077,-0.325869698,0.309961443,0.213054266,0.221679491,0.253644244,0.191322765,0.320768218,14.7261876,8.450664489,11.01461485,11.1514211,7.786223556,11.37677048,0.0,68.5,1.5,0.0,2.5,0.0,32.9,32.0,33.4,33.3,33.2,35.9,26.3,25.7,26.1,26.6,25.2,28.1,27.5,30.0,30.0,32.0,31.0,30.0,36410.0,46877.0,408535.0,43639.0,12019.0,44455.0
2016,12,347,4,317.038231,502.368207,173.9099919,350.13601,361.6066363,237.3816368,-0.368700383,-0.412928701,-0.293802339,-0.356874053,-0.33748493,-0.263233077,0.258613396,0.309961443,0.213054266,0.221679491,0.253644244,0.191322765,11.01049189,14.7261876,8.450664489,11.01461485,11.1514211,7.786223556,0.0,0.0,68.5,1.5,0.0,2.5,30.9,32.9,32.0,33.4,33.3,33.2,25.4,26.3,25.7,26.1,26.6,25.2,29.0,27.5,30.0,30.0,32.0,31.0,138.0,36410.0,46877.0,408535.0,43639.0,12019.0
2016,1,12,5,251.5806436,317.038231,502.368207,173.9099919,350.13601,361.6066363,-0.447673337,-0.368700383,-0.412928701,-0.293802339,-0.356874053,-0.33748493,0.260774894,0.258613396,0.309961443,0.213054266,0.221679491,0.253644244,12.5377666,11.01049189,14.7261876,8.450664489,11.01461485,11.1514211,0.0,0.0,0.0,68.5,1.5,0.0,32.1,30.9,32.9,32.0,33.4,33.3,24.5,25.4,26.3,25.7,26.1,26.6,27.5,29.0,27.5,30.0,30.0,32.0,28964.0,138.0,36410.0,46877.0,408535.0,43639.0
2016,2,43,5,271.4408707,251.5806436,317.038231,502.368207,173.9099919,350.13601,-0.367958039,-0.447673337,-0.368700383,-0.412928701,-0.293802339,-0.356874053,0.232394898,0.260774894,0.258613396,0.309961443,0.213054266,0.221679491,10.80387697,12.5377666,11.01049189,14.7261876,8.450664489,11.01461485,0.0,0.0,0.0,0.0,68.5,1.5,27.5,32.1,30.9,32.9,32.0,33.4,20.9,24.5,25.4,26.3,25.7,26.1,27.999999999999996,27.5,29.0,27.5,30.0,30.0,38004.0,28964.0,138.0,36410.0,46877.0,408535.0
2016,3,72,5,590.9846771,271.4408707,251.5806436,317.038231,502.368207,173.9099919,-0.475136249,-0.367958039,-0.447673337,-0.368700383,-0.412928701,-0.293802339,0.29617479699999993,0.232394898,0.260774894,0.258613396,0.309961443,0.213054266,16.51680247,10.80387697,12.5377666,11.01049189,14.7261876,8.450664489,0.0,0.0,0.0,0.0,0.0,68.5,33.3,27.5,32.1,30.9,32.9,32.0,26.4,20.9,24.5,25.4,26.3,25.7,27.999999999999996,27.999999999999996,27.5,29.0,27.5,30.0,37989.0,38004.0,28964.0,138.0,36410.0,46877.0
2016,4,103,5,272.6624343,590.9846771,271.4408707,251.5806436,317.038231,502.368207,-0.413618306,-0.475136249,-0.367958039,-0.447673337,-0.368700383,-0.412928701,0.277813036,0.29617479699999993,0.232394898,0.260774894,0.258613396,0.309961443,12.82012897,16.51680247,10.80387697,12.5377666,11.01049189,14.7261876,0.0,0.0,0.0,0.0,0.0,0.0,35.0,33.3,27.5,32.1,30.9,32.9,24.3,26.4,20.9,24.5,25.4,26.3,27.999999999999996,27.999999999999996,27.999999999999996,27.5,29.0,27.5,88322.0,37989.0,38004.0,28964.0,138.0,36410.0
2016,5,133,5,756.2421094,272.6624343,590.9846771,271.4408707,251.5806436,317.038231,-0.46606571300000005,-0.413618306,-0.475136249,-0.367958039,-0.447673337,-0.368700383,0.259407496,0.277813036,0.29617479699999993,0.232394898,0.260774894,0.258613396,16.55360709,12.82012897,16.51680247,10.80387697,12.5377666,11.01049189,0.0,0.0,0.0,0.0,0.0,0.0,36.4,35.0,33.3,27.5,32.1,30.9,28.2,24.3,26.4,20.9,24.5,25.4,38.0,27.999999999999996,27.999999999999996,27.999999999999996,27.5,29.0,102077.0,88322.0,37989.0,38004.0,28964.0,138.0
2016,6,164,5,346.2716995,756.2421094,272.6624343,590.9846771,271.4408707,251.5806436,-0.325869698,-0.46606571300000005,-0.413618306,-0.475136249,-0.367958039,-0.447673337,0.320768218,0.259407496,0.277813036,0.29617479699999993,0.232394898,0.260774894,11.37677048,16.55360709,12.82012897,16.51680247,10.80387697,12.5377666,0.0,0.0,0.0,0.0,0.0,0.0,35.9,36.4,35.0,33.3,27.5,32.1,28.1,28.2,24.3,26.4,20.9,24.5,32.0,38.0,27.999999999999996,27.999999999999996,27.999999999999996,27.5,13379.999999999998,102077.0,88322.0,37989.0,38004.0,28964.0
2016,7,194,5,237.3816368,346.2716995,756.2421094,272.6624343,590.9846771,271.4408707,-0.263233077,-0.325869698,-0.46606571300000005,-0.413618306,-0.475136249,-0.367958039,0.191322765,0.320768218,0.259407496,0.277813036,0.29617479699999993,0.232394898,7.786223556,11.37677048,16.55360709,12.82012897,16.51680247,10.80387697,2.5,0.0,0.0,0.0,0.0,0.0,33.2,35.9,36.4,35.0,33.3,27.5,25.2,28.1,28.2,24.3,26.4,20.9,32.0,32.0,38.0,27.999999999999996,27.999999999999996,27.999999999999996,73214.0,13379.999999999998,102077.0,88322.0,37989.0,38004.0
2016,8,225,5,361.6066363,237.3816368,346.2716995,756.2421094,272.6624343,590.9846771,-0.33748493,-0.263233077,-0.325869698,-0.46606571300000005,-0.413618306,-0.475136249,0.253644244,0.191322765,0.320768218,0.259407496,0.277813036,0.29617479699999993,11.1514211,7.786223556,11.37677048,16.55360709,12.82012897,16.51680247,0.0,2.5,0.0,0.0,0.0,0.0,33.3,33.2,35.9,36.4,35.0,33.3,26.6,25.2,28.1,28.2,24.3,26.4,31.0,32.0,32.0,38.0,27.999999999999996,27.999999999999996,32992.0,73214.0,13379.999999999998,102077.0,88322.0,37989.0
